loc,v(g),ev(g),iv(g),defects
1,1,1,1,0
1,1,1,1,1
83,11,1,11,1
46,8,6,8,1
25,3,1,3,1
43,3,1,3,1
48,6,1,6,1
69,12,1,12,1
47,6,1,6,1
48,7,1,7,1
58,9,1,9,1
65,6,1,5,1
116,11,4,8,1
24,4,1,4,1
77,19,12,19,1
9,1,1,1,1
16,2,1,2,1
93,7,3,6,1
23,1,1,1,1
30,1,1,1,1
30,1,1,1,1
35,3,1,3,1
25,4,1,4,1
20,7,7,3,1
119,14,1,14,1
35,4,1,4,1
33,4,1,4,1
17,2,1,2,1
44,3,1,3,1
84,15,9,15,1
56,3,1,3,1
58,3,1,3,1
78,7,1,6,1
75,8,3,8,1
12,1,1,1,1
11,1,1,1,1
69,10,1,10,1
39,5,3,5,1
53,5,1,5,1
52,5,1,5,1
30,2,1,2,1
27,3,1,3,1
47,7,1,6,1
49,7,1,6,1
7,1,1,1,1
66,12,5,12,1
14,1,1,1,1
29,3,1,3,1
6,1,1,1,1
12,1,1,1,1
38,7,1,7,1
132,16,11,13,1
26,4,1,4,1
56,5,1,4,1
21,1,1,1,1
43,6,5,5,1
12,4,1,2,1
11,1,1,1,1
26,2,1,2,1
80,11,1,11,1
63,8,1,8,1
10,2,1,2,1
9,2,1,1,1
35,5,1,4,1
9,1,1,1,1
16,2,1,2,1
5,1,1,1,1
16,1,1,1,1
4,1,1,1,1
12,2,1,2,1
8,2,1,1,1
4,1,1,1,1
14,2,1,2,1
56,3,1,2,1
30,2,1,2,1
52,8,1,8,1
41,6,3,6,1
4,1,1,1,1
15,1,1,1,1
9,1,1,1,1
5,1,1,1,1
25,1,1,1,1
45,1,1,1,1
4,1,1,1,1
23,3,1,2,1
14,1,1,1,1
18,2,1,1,1
40,4,1,3,1
24,3,1,2,1
52,6,1,5,1
11,1,1,1,1
23,6,6,2,1
4,1,1,1,1
38,8,8,5,1
113,15,11,14,1
8,1,1,1,1
38,6,3,6,1
47,13,10,10,1
8,1,1,1,1
4,1,1,1,1
15,3,1,1,1
38,5,1,5,1
48,12,1,11,1
70,15,14,3,1
23,5,3,3,1
27,8,6,5,1
10,1,1,1,1
13,1,1,1,1
23,8,8,8,1
11,4,4,4,1
9,2,1,2,1
11,3,3,2,1
49,8,1,7,1
53,11,6,9,1
21,5,4,2,1
16,4,1,4,1
22,5,3,4,1
24,5,3,4,1
27,6,1,5,1
27,5,1,4,1
39,9,9,5,1
16,3,1,3,1
19,4,1,4,1
66,16,11,15,1
12,2,1,2,1
19,5,5,4,1
9,3,3,2,1
29,4,3,3,1
286,27,5,25,1
26,3,1,3,1
64,11,1,11,1
47,4,1,4,1
107,9,7,7,1
107,9,7,7,1
74,5,3,4,1
37,4,1,4,1
79,7,1,6,1
134,15,8,14,1
55,4,3,3,1
22,3,1,2,1
22,3,1,2,1
8,3,1,3,1
151,18,4,16,1
2,1,1,1,1
2,1,1,1,1
70,13,4,12,1
4,1,1,1,1
2,1,1,1,1
27,1,1,1,1
57,1,1,1,1
4,1,1,1,1
7,1,1,1,1
7,1,1,1,1
16,2,1,2,1
11,1,1,1,1
8,2,1,1,1
62,14,1,9,1
39,4,1,4,1
165,13,11,12,1
45,3,1,3,1
3,1,1,1,1
21,2,1,2,1
23,1,1,1,1
12,1,1,1,1
44,7,1,5,1
17,4,3,3,1
40,5,3,4,1
179,13,4,12,1
92,8,3,8,1
14,1,1,1,1
92,8,3,8,1
64,4,1,4,1
184,16,12,13,1
17,4,3,3,1
38,5,3,4,1
6,1,1,1,1
41,4,1,4,1
13,1,1,1,1
20,4,3,3,1
50,5,4,4,1
17,1,1,1,1
41,6,5,5,1
29,4,1,1,1
125,8,5,7,1
42,5,3,4,1
17,4,3,3,1
14,3,3,3,1
9,1,1,1,1
3,1,1,1,1
11,2,1,2,1
35,3,1,3,1
7,2,1,2,1
34,5,1,5,1
24,4,1,3,1
35,4,1,4,1
48,4,1,4,1
61,7,1,7,1
20,1,1,1,1
10,1,1,1,1
38,5,1,5,1
4,1,1,1,1
15,2,1,2,1
6,1,1,1,1
6,1,1,1,1
50,6,5,5,1
17,1,1,1,1
20,2,1,2,1
8,1,1,1,1
20,5,1,5,1
36,7,3,6,1
27,1,1,1,1
13,3,1,3,1
13,3,1,3,1
13,3,1,3,1
78,6,3,6,1
84,7,3,7,1
99,8,5,8,1
25,3,1,3,1
97,14,1,14,1
95,16,9,16,1
132,14,8,13,1
61,4,1,4,1
8,1,1,1,1
55,5,1,5,1
57,4,1,4,1
51,13,8,13,1
93,7,1,7,1
29,1,1,1,1
112,16,10,13,1
152,22,6,16,1
25,4,1,4,1
78,11,1,11,1
35,5,3,4,1
12,3,1,3,1
19,2,1,2,1
19,3,1,3,1
15,2,1,2,1
217,28,18,27,1
150,27,22,18,1
30,3,1,3,1
15,1,1,1,1
41,1,1,1,1
25,3,3,3,1
15,8,4,3,1
56,13,7,11,1
20,2,1,2,1
9,2,1,2,1
145,25,21,18,1
34,4,1,4,1
12,1,1,1,1
24,5,3,4,1
74,6,5,4,1
36,1,1,1,1
7,2,1,2,1
7,1,1,1,1
6,1,1,1,1
55,5,1,3,1
21,1,1,1,1
17,3,1,3,1
19,3,1,1,1
22,3,1,3,1
40,3,1,3,1
15,2,1,2,1
27,5,3,4,1
35,1,1,1,1
30,2,1,2,1
12,1,1,1,1
22,1,1,1,1
40,5,3,4,1
176,16,10,14,1
132,13,10,13,1
101,13,6,12,1
7,1,1,1,1
11,1,1,1,1
11,1,1,1,1
11,1,1,1,1
11,1,1,1,1
16,2,1,2,1
38,2,1,2,1
50,5,1,5,1
4,1,1,1,1
60,6,3,5,1
63,8,5,8,1
72,11,7,9,1
57,6,1,5,1
82,16,13,16,1
288,45,7,45,1
96,9,1,8,1
68,18,5,18,1
84,11,1,11,1
20,2,1,2,1
72,12,8,10,1
16,1,1,1,1
40,5,1,5,1
12,1,1,1,1
11,1,1,1,1
50,8,3,4,1
25,2,1,2,1
4,1,1,1,1
220,12,8,12,1
22,1,1,1,1
23,1,1,1,1
89,6,4,5,1
15,1,1,1,1
100,7,3,6,1
12,1,1,1,1
72,7,1,7,1
23,1,1,1,1
140,18,10,18,1
162,17,12,16,1
33,1,1,1,1
82,13,4,12,1
73,10,7,9,1
109,18,14,15,1
61,5,1,2,1
153,27,15,18,1
33,1,1,1,1
10,1,1,1,1
81,4,1,4,1
97,11,8,8,1
3,1,1,1,1
75,9,6,9,1
98,17,3,15,1
119,14,12,13,1
35,5,5,5,1
116,12,6,12,1
205,26,16,19,1
5,1,1,1,0
3,1,1,1,0
3,1,1,1,0
3,1,1,1,0
12,1,1,1,0
5,1,1,1,0
3,1,1,1,0
3,1,1,1,0
3,1,1,1,0
13,1,1,1,0
12,1,1,1,0
3,1,1,1,0
12,1,1,1,0
4,1,1,1,0
13,1,1,1,0
16,3,3,2,0
16,3,3,2,0
16,3,3,2,0
16,1,1,1,0
35,6,5,6,0
14,2,1,2,0
40,4,1,4,0
38,4,3,4,0
26,2,1,2,0
15,2,1,2,0
21,1,1,1,0
11,1,1,1,0
17,2,1,2,0
25,3,1,3,0
56,10,9,10,0
59,5,1,4,0
120,12,5,11,0
23,3,1,3,0
23,3,1,3,0
22,3,1,3,0
31,2,1,2,0
13,1,1,1,0
17,1,1,1,0
32,4,1,4,0
17,1,1,1,0
74,7,1,6,0
23,3,1,3,0
20,2,1,2,0
13,2,1,2,0
30,2,1,2,0
38,6,3,6,0
55,5,1,5,0
24,3,1,3,0
36,9,9,9,0
210,25,11,25,0
7,1,1,1,0
8,1,1,1,0
23,2,1,2,0
9,1,1,1,0
34,5,3,5,0
9,1,1,1,0
63,11,5,11,0
7,1,1,1,0
28,2,1,2,0
14,1,1,1,0
29,4,1,4,0
41,8,5,8,0
18,1,1,1,0
14,1,1,1,0
4,1,1,1,0
11,1,1,1,0
4,1,1,1,0
6,1,1,1,0
18,2,1,2,0
2,1,1,1,0
43,5,1,5,0
2,1,1,1,0
8,1,1,1,0
10,1,1,1,0
3,1,1,1,0
5,1,1,1,0
7,1,1,1,0
3,1,1,1,0
13,1,1,1,0
11,1,1,1,0
