,loc,v(g),ev(g),iv(g),defects
0,1,1,1,1,0
1,1,1,1,1,1
2,83,11,1,11,1
3,46,8,6,8,1
4,25,3,1,3,1
5,43,3,1,3,1
6,48,6,1,6,1
7,69,12,1,12,1
8,47,6,1,6,1
9,48,7,1,7,1
10,58,9,1,9,1
11,65,6,1,5,1
12,116,11,4,8,1
13,24,4,1,4,1
14,77,19,12,19,1
15,9,1,1,1,1
16,16,2,1,2,1
17,93,7,3,6,1
18,23,1,1,1,1
19,30,1,1,1,1
20,30,1,1,1,1
21,35,3,1,3,1
22,25,4,1,4,1
23,20,7,7,3,1
24,119,14,1,14,1
25,35,4,1,4,1
26,33,4,1,4,1
27,17,2,1,2,1
28,44,3,1,3,1
29,84,15,9,15,1
30,56,3,1,3,1
31,58,3,1,3,1
32,78,7,1,6,1
33,75,8,3,8,1
34,12,1,1,1,1
35,11,1,1,1,1
36,69,10,1,10,1
37,39,5,3,5,1
38,53,5,1,5,1
39,52,5,1,5,1
40,30,2,1,2,1
41,27,3,1,3,1
42,47,7,1,6,1
43,49,7,1,6,1
44,7,1,1,1,1
45,66,12,5,12,1
46,14,1,1,1,1
47,29,3,1,3,1
48,6,1,1,1,1
49,12,1,1,1,1
50,38,7,1,7,1
51,132,16,11,13,1
52,26,4,1,4,1
53,56,5,1,4,1
54,21,1,1,1,1
55,43,6,5,5,1
56,12,4,1,2,1
57,11,1,1,1,1
58,26,2,1,2,1
59,80,11,1,11,1
60,63,8,1,8,1
61,10,2,1,2,1
62,9,2,1,1,1
63,35,5,1,4,1
64,9,1,1,1,1
65,16,2,1,2,1
66,5,1,1,1,1
67,16,1,1,1,1
68,4,1,1,1,1
69,12,2,1,2,1
70,8,2,1,1,1
71,4,1,1,1,1
72,14,2,1,2,1
73,56,3,1,2,1
74,30,2,1,2,1
75,52,8,1,8,1
76,41,6,3,6,1
77,4,1,1,1,1
78,15,1,1,1,1
79,9,1,1,1,1
80,5,1,1,1,1
81,25,1,1,1,1
82,45,1,1,1,1
83,4,1,1,1,1
84,23,3,1,2,1
85,14,1,1,1,1
86,18,2,1,1,1
87,40,4,1,3,1
88,24,3,1,2,1
89,52,6,1,5,1
90,11,1,1,1,1
91,23,6,6,2,1
92,4,1,1,1,1
93,38,8,8,5,1
94,113,15,11,14,1
95,8,1,1,1,1
96,38,6,3,6,1
97,47,13,10,10,1
98,8,1,1,1,1
99,4,1,1,1,1
100,15,3,1,1,1
101,38,5,1,5,1
102,48,12,1,11,1
103,70,15,14,3,1
104,23,5,3,3,1
105,27,8,6,5,1
106,10,1,1,1,1
107,13,1,1,1,1
108,23,8,8,8,1
109,11,4,4,4,1
110,9,2,1,2,1
111,11,3,3,2,1
112,49,8,1,7,1
113,53,11,6,9,1
114,21,5,4,2,1
115,16,4,1,4,1
116,22,5,3,4,1
117,24,5,3,4,1
118,27,6,1,5,1
119,27,5,1,4,1
120,39,9,9,5,1
121,16,3,1,3,1
122,19,4,1,4,1
123,66,16,11,15,1
124,12,2,1,2,1
125,19,5,5,4,1
126,9,3,3,2,1
127,29,4,3,3,1
128,286,27,5,25,1
129,26,3,1,3,1
130,64,11,1,11,1
131,47,4,1,4,1
132,107,9,7,7,1
133,107,9,7,7,1
134,74,5,3,4,1
135,37,4,1,4,1
136,79,7,1,6,1
137,134,15,8,14,1
138,55,4,3,3,1
139,22,3,1,2,1
140,22,3,1,2,1
141,8,3,1,3,1
142,151,18,4,16,1
143,2,1,1,1,1
144,2,1,1,1,1
145,70,13,4,12,1
146,4,1,1,1,1
147,2,1,1,1,1
148,27,1,1,1,1
149,57,1,1,1,1
150,4,1,1,1,1
151,7,1,1,1,1
152,7,1,1,1,1
153,16,2,1,2,1
154,11,1,1,1,1
155,8,2,1,1,1
156,62,14,1,9,1
157,39,4,1,4,1
158,165,13,11,12,1
159,45,3,1,3,1
160,3,1,1,1,1
161,21,2,1,2,1
162,23,1,1,1,1
